x, y, ksi, T
#iter= 1860000
0 0 0 1 
0.05 0 0 1 
0.1 0 0 1 
0.15 0 0 1 
0.2 0 0 1 
0.25 0 0 1 
0.3 0 0 1 
0.35 0 0 1 
0.4 0 0 1 
0.45 0 0 1 
0.5 0 0 1 
0.55 0 0 1 
0.6 0 0 1 
0.65 0 0 1 
0.7 0 0 1 
0.75 0 0 1 
0.8 0 0 1 
0.85 0 0 1 
0.9 0 0 1 
0.95 0 0 1 
1 0 0 1 
1.05 0 0 1 
1.1 0 0 1 
1.15 0 0 1 
1.2 0 0 1 
1.25 0 0 1 
1.3 0 0 1 
1.35 0 0 1 
1.4 0 0 1 
1.45 0 0 1 
1.5 0 0 1 
1.55 0 0 1 
1.6 0 0 1 
1.65 0 0 1 
1.7 0 0 1 
1.75 0 0 1 
1.8 0 0 1 
1.85 0 0 1 
1.9 0 0 1 
1.95 0 0 1 
2 0 0 1 
2.05 0 0 1 
2.1 0 0 1 
2.15 0 0 1 
2.2 0 0 1 
2.25 0 0 1 
2.3 0 0 1 
2.35 0 0 1 
2.4 0 0 1 
2.45 0 0 1 
2.5 0 0 1 
2.55 0 0 1 
2.6 0 0 1 
2.65 0 0 1 
2.7 0 0 1 
2.75 0 0 1 
2.8 0 0 1 
2.85 0 0 1 
2.9 0 0 1 
2.95 0 0 1 
3 0 0 1 
3.05 0 0 1 
3.1 0 0 1 
3.15 0 0 1 
3.2 0 0 1 
3.25 0 0 1 
3.3 0 0 1 
3.35 0 0 1 
3.4 0 0 1 
3.45 0 0 1 
3.5 0 0 1 
3.55 0 0 1 
3.6 0 0 1 
3.65 0 0 1 
3.7 0 0 1 
3.75 0 0 1 
3.8 0 0 1 
3.85 0 0 1 
3.9 0 0 1 
3.95 0 0 1 
4 0 0 1 
4.05 0 0 1 
4.1 0 0 1 
4.15 0 0 1 
4.2 0 0 1 
4.25 0 0 1 
4.3 0 0 1 
4.35 0 0 1 
4.4 0 0 1 
4.45 0 0 1 
4.5 0 0 1 
4.55 0 0 1 
4.6 0 0 1 
4.65 0 0 1 
4.7 0 0 1 
4.75 0 0 1 
4.8 0 0 1 
4.85 0 0 1 
4.9 0 0 1 
4.95 0 0 1 
5 0 0 1 
0 0.05 -0.0064261 0.884631 
0.05 0.05 -0.00432924 0.881646 
0.1 0.05 -0.00214203 0.879912 
0.15 0.05 6.94419e-05 0.879406 
0.2 0.05 0.00224714 0.880111 
0.25 0.05 0.0043272 0.881997 
0.3 0.05 0.00624503 0.885022 
0.35 0.05 0.00794007 0.889125 
0.4 0.05 0.00935865 0.894228 
0.45 0.05 0.0104555 0.900241 
0.5 0.05 0.0111944 0.907053 
0.55 0.05 0.011548 0.91453 
0.6 0.05 0.0114985 0.922503 
0.65 0.05 0.011038 0.930752 
0.7 0.05 0.0101699 0.938995 
0.75 0.05 0.00891181 0.946872 
0.8 0.05 0.00729786 0.953955 
0.85 0.05 0.00538095 0.959774 
0.9 0.05 0.00323316 0.963882 
0.95 0.05 0.000943297 0.965922 
1 0.05 -0.00138851 0.965705 
1.05 0.05 -0.00365867 0.963252 
1.1 0.05 -0.00576868 0.958788 
1.15 0.05 -0.00763262 0.952695 
1.2 0.05 -0.00918205 0.94543 
1.25 0.05 -0.0103678 0.937458 
1.3 0.05 -0.0111592 0.929197 
1.35 0.05 -0.0115418 0.92099 
1.4 0.05 -0.0115146 0.913109 
1.45 0.05 -0.011088 0.905762 
1.5 0.05 -0.0102823 0.89911 
1.55 0.05 -0.00912728 0.893282 
1.6 0.05 -0.00766212 0.888384 
1.65 0.05 -0.00593554 0.884504 
1.7 0.05 -0.0040052 0.881712 
1.75 0.05 -0.00193657 0.880059 
1.8 0.05 0.000199217 0.879578 
1.85 0.05 0.0023281 0.880277 
1.9 0.05 0.00437633 0.882144 
1.95 0.05 0.00627363 0.885142 
2 0.05 0.00795585 0.889217 
2.05 0.05 0.00936694 0.894294 
2.1 0.05 0.01046 0.900282 
2.15 0.05 0.0111974 0.907073 
2.2 0.05 0.0115513 0.914533 
2.25 0.05 0.0115031 0.922491 
2.3 0.05 0.0110445 0.93073 
2.35 0.05 0.0101786 0.938967 
2.4 0.05 0.00892278 0.946841 
2.45 0.05 0.00731093 0.953926 
2.5 0.05 0.00539577 0.959753 
2.55 0.05 0.0032492 0.963871 
2.6 0.05 0.000959906 0.965924 
2.65 0.05 -0.00137206 0.965721 
2.7 0.05 -0.00364311 0.963283 
2.75 0.05 -0.00575469 0.958832 
2.8 0.05 -0.00762077 0.952748 
2.85 0.05 -0.00917278 0.945489 
2.9 0.05 -0.0103614 0.937521 
2.95 0.05 -0.0111559 0.92926 
3 0.05 -0.0115416 0.921052 
3.05 0.05 -0.0115176 0.913167 
