t, time(sec), Ek, Vmax
0.0005 0.022 0 0
5 5.698 0.306338 -0.305993
10 7.47 0.294479 -0.286166
15 9.236 0.290283 -0.289946
20 11.215 0.289333 -0.291243
25 13.109 0.290078 -0.291667
30 14.937 0.290456 -0.291806
35 16.722 0.290657 -0.291846
40 18.488 0.290792 -0.291849
45 20.311 0.290901 -0.291835
50 22.038 0.291002 -0.29181
55 23.817 0.291097 -0.291776
60 25.645 0.291188 -0.291735
65 27.426 0.291276 -0.291684
70 29.206 0.29136 -0.291624
75 30.941 0.291438 -0.291553
80 32.701 0.291512 -0.291471
85 34.476 0.291578 -0.291375
90 36.19 0.291638 -0.291267
95 37.946 0.291689 -0.291142
100 39.664 0.29173 -0.291002
105 41.443 0.291761 -0.29105
110 43.157 0.291779 -0.291247
115 44.929 0.291784 -0.291437
120 46.74 0.291773 -0.291617
125 48.588 0.291746 -0.291787
130 50.465 0.291701 -0.291944
135 52.223 0.291635 -0.292087
140 53.994 0.291546 -0.292214
145 55.764 0.291434 -0.292323
150 57.613 0.291294 -0.292411
155 59.437 0.291126 -0.292477
160 61.259 0.290926 -0.292517
165 63.08 0.290692 -0.29253
170 65.001 0.290517 -0.292513
175 67.054 0.290775 -0.292462
180 69.01 0.291008 -0.292376
185 70.884 0.291212 -0.292251
190 72.795 0.291385 -0.292083
195 74.684 0.291524 -0.291871
200 76.622 0.291625 -0.291611
205 78.604 0.291685 -0.291658
210 80.618 0.291701 -0.291977
215 82.574 0.29167 -0.292253
220 84.56 0.291588 -0.292484
225 86.44 0.291453 -0.292666
230 88.315 0.291262 -0.292796
235 90.218 0.291011 -0.29287
240 92.137 0.290773 -0.292886
245 94.23 0.291052 -0.292842
250 96.086 0.291269 -0.292734
255 98.053 0.291424 -0.29256
260 99.899 0.291513 -0.29232
265 101.776 0.291536 -0.292011
270 103.7 0.291496 -0.291637
275 105.681 0.291529 -0.292003
280 107.561 0.291495 -0.292301
285 109.415 0.291394 -0.292531
290 111.261 0.291224 -0.292692
295 113.303 0.290987 -0.292784
300 115.28 0.290946 -0.292808
305 117.147 0.29123 -0.292765
310 119.041 0.291448 -0.292656
315 121.022 0.2916 -0.292483
320 122.905 0.291691 -0.292249
325 124.806 0.29172 -0.291957
330 126.657 0.291693 -0.291609
335 128.514 0.291612 -0.291315
340 130.413 0.29148 -0.291596
345 132.302 0.291301 -0.291818
350 134.246 0.291078 -0.291984
355 136.161 0.290919 -0.292097
360 138.381 0.290724 -0.292161
365 140.5 0.290489 -0.292179
370 142.697 0.290642 -0.292154
375 144.782 0.290838 -0.292091
380 146.835 0.290994 -0.291993
385 148.839 0.291113 -0.291863
390 150.822 0.291199 -0.291705
395 152.742 0.291254 -0.291522
400 154.699 0.291283 -0.291317
405 156.812 0.291286 -0.291094
410 158.928 0.291268 -0.290854
415 161.016 0.291231 -0.290601
420 163.34 0.291176 -0.290337
425 165.657 0.291107 -0.290392
430 167.956 0.291026 -0.290521
435 170.256 0.290933 -0.290628
440 172.678 0.290832 -0.290716
445 175.078 0.290723 -0.290787
450 177.379 0.290608 -0.290842
455 179.696 0.290489 -0.290883
460 182.138 0.290366 -0.290913
465 184.572 0.29024 -0.290931
470 186.927 0.290133 -0.29094
475 189.457 0.290027 -0.290941
480 191.819 0.289918 -0.290935
485 194.07 0.289807 -0.290923
490 195.942 0.289696 -0.290905
495 197.867 0.289584 -0.290883
500 199.775 0.289487 -0.290857
505 201.706 0.289552 -0.290829
510 203.745 0.28961 -0.290798
515 205.659 0.289662 -0.290765
520 207.585 0.289709 -0.29073
525 209.471 0.289751 -0.290694
530 211.359 0.289788 -0.290658
535 213.272 0.289822 -0.290621
540 215.219 0.289852 -0.290584
545 217.062 0.289879 -0.290547
550 218.982 0.289903 -0.29051
555 220.886 0.289925 -0.290474
560 223.032 0.289944 -0.290438
565 225.232 0.289962 -0.290402
570 227.363 0.289977 -0.290368
575 229.9 0.289991 -0.290334
580 231.93 0.290003 -0.290302
585 233.836 0.290014 -0.29027
590 235.757 0.290024 -0.290239
595 237.669 0.290033 -0.290209
600 239.616 0.29004 -0.290181
605 241.595 0.290047 -0.290153
610 243.572 0.290053 -0.290126
615 245.519 0.290059 -0.2901
620 247.379 0.290064 -0.290076
625 249.408 0.290068 -0.290052
630 251.362 0.290072 -0.290029
635 253.562 0.290075 -0.290008
640 255.564 0.290078 -0.289987
645 257.423 0.290081 -0.289967
650 259.297 0.290083 -0.289948
655 261.294 0.290086 -0.28993
660 263.235 0.290087 -0.289913
665 265.264 0.290089 -0.289896
670 267.219 0.290091 -0.28988
675 269.108 0.290092 -0.289865
680 270.955 0.290093 -0.289851
685 272.943 0.290094 -0.289838
690 274.888 0.290095 -0.289825
695 276.997 0.290096 -0.289813
700 279.035 0.290096 -0.289801
705 281.015 0.290097 -0.28979
710 283.197 0.290098 -0.28978
715 285.336 0.290098 -0.28977
720 287.341 0.290098 -0.28976
725 289.298 0.290099 -0.289753
730 291.401 0.290099 -0.289749
735 293.352 0.290099 -0.289744
740 295.251 0.2901 -0.28974
745 297.172 0.290101 -0.289736
750 299.091 0.290103 -0.289732
755 301.409 0.290104 -0.289729
760 303.301 0.290106 -0.289725
765 305.247 0.290107 -0.289722
770 307.119 0.290108 -0.289719
775 309.089 0.290109 -0.289716
780 311.096 0.290111 -0.289713
785 312.95 0.290112 -0.289711
790 314.875 0.290113 -0.289708
795 316.776 0.290114 -0.289706
800 318.699 0.290114 -0.289704
805 321.125 0.290115 -0.289702
810 323.632 0.290116 -0.2897
815 326.185 0.290117 -0.289698
820 328.228 0.290117 -0.289696
825 330.396 0.290118 -0.289694
830 332.587 0.290119 -0.289693
835 334.635 0.290119 -0.289691
840 336.989 0.29012 -0.28969
845 339.462 0.29012 -0.289688
850 341.933 0.290121 -0.289687
855 344.536 0.290121 -0.289686
860 347.057 0.290122 -0.289685
865 349.12 0.290124 -0.289684
870 351.312 0.290125 -0.289683
875 353.44 0.290126 -0.289682
880 355.585 0.290127 -0.289681
885 357.61 0.290128 -0.28968
890 359.523 0.290129 -0.289679
895 362.729 0.29013 -0.289678
900 365.737 0.290131 -0.289677
905 368.044 0.290132 -0.289677
910 370.453 0.290133 -0.289676
915 372.81 0.290133 -0.289675
920 375.116 0.290134 -0.289675
925 377.449 0.290135 -0.289674
930 379.928 0.290135 -0.289674
935 382.313 0.290136 -0.289673
940 384.879 0.290136 -0.289673
945 387.308 0.290137 -0.289672
950 389.701 0.290137 -0.289672
955 392.28 0.290138 -0.289672
960 394.814 0.290138 -0.289671
965 397.315 0.290139 -0.289671
970 399.825 0.290139 -0.28967
975 402.351 0.29014 -0.28967
980 404.873 0.29014 -0.28967
985 407.761 0.29014 -0.28967
990 410.377 0.290141 -0.289669
995 413.138 0.290141 -0.289669
1000 415.918 0.290141 -0.289669
1005 418.361 0.290141 -0.289669
1010 420.946 0.290142 -0.289668
1015 423.412 0.290142 -0.289668
1020 425.885 0.290142 -0.289668
t, time(sec), Ek, Vmax
0.0005 0.034 0.290142 -0.289668
5 2.544 0.283656 -0.283161
10 4.979 0.283668 -0.283175
15 7.472 0.283667 -0.283183
20 10.023 0.283661 -0.28319
25 12.308 0.283655 -0.283195
30 14.637 0.283649 -0.283201
35 16.938 0.283642 -0.283206
40 19.263 0.283637 -0.28321
45 21.546 0.283631 -0.283214
50 23.794 0.283626 -0.283218
55 26.08 0.283621 -0.283222
60 28.399 0.283616 -0.283226
65 30.751 0.283611 -0.283229
70 33.095 0.283607 -0.283232
75 35.631 0.283603 -0.283235
80 40.196 0.283599 -0.283238
85 43.57 0.283596 -0.283241
90 46.922 0.283592 -0.283243
95 49.985 0.283589 -0.283245
100 53.07 0.283586 -0.283248
